"run","num_revs","length","diversity_mean","diversity_sd","mean_unique_length","mean_within_rev_uni_ent","sd_within_rev_uni_ent","mean_within_rev_info","sd_within_rev_info","mean_across_rev_uni_ent","sd_across_rev_uni_ent","mean_across_rev_info","sd_across_rev_info","within_reviewer_sd_ent_chancap","within_reviewer_sd_info_chancap","across_reviewer_sd_ent_chancap","across_reviewer_sd_info_chancap","interconnectivity","transitivities","degrees","scale_test","betweens","centralization","nodes","edges","path_length","run","gini","alpha","xmin","loglik","KS.stat","KS.p"
1,4305,4990.527778,0.582583773,0.185077003,1304.583333,6.122433408,0.956918467,6.95419545,1.563004997,13.97353542,1.036611064,22.46514513,0.408988024,0.758079916,0.174792327,3.197972225,3.70666311,3.5,0.28395646,7,0.025641026,66.22727273,0.356321839,88,308,2.493801653,1,0.810693168619998,2.03073333351225,0.0227272727272727,23.9499558923508,0.166666666666667,0.863055316066449
2,1238,1068.875,0.665059748,0.115509168,524.7291667,5.63816072,0.838589675,6.177683896,1.110966409,13.40509256,0.687443128,22.38356376,0.401652045,0.619936722,0.146691985,3.153893748,3.796019586,4.590909091,0.271516992,9.181818182,0.023255814,75.2,0.301084237,110,505,2.358181818,2,0.64143045968571,2.39600571030293,0.0181818181818182,56.7553099439914,0.238095238095238,0.165010427129984
3,1787,1713.232558,0.634605284,0.146891574,731,5.798035736,0.970639489,6.433415745,1.345827828,13.56310782,0.839852786,22.38148424,0.398207168,0.667226695,0.150763341,3.108613041,3.736739141,2.536842105,0.297363281,5.073684211,0.04,113.2526316,0.201343785,95,241,3.373739612,3,0.686961387800782,2.78088935289529,0.0421052631578947,23.251343170615,0.157269995612214,0.948422783664862
4,1897,1829.60241,0.638311233,0.148190845,722.3975904,5.726914702,0.965907571,6.352652491,1.358754699,13.5108344,0.893056911,22.36278452,0.392790324,0.665291087,0.155521985,3.133621164,3.742043494,2.87037037,0.326283988,5.740740741,0.025,123.5092593,0.310834199,108,310,3.277949246,4,0.756433159569692,1.94106200367337,0.0185185185185185,28.0436404359472,0.174452104469761,0.751294006617251
5,734,846.8529412,0.693693788,0.118844156,430.9411765,5.387392684,0.945321538,5.863522938,1.194677182,13.27478082,0.711953226,22.39582851,0.574126446,0.581952849,0.15189971,3.119083834,3.755219986,1.5,0.278544542,3,0.066666667,197.3333333,0.115789474,96,144,5.100694444,5,0.658321980018165,1.82352410986566,0.0208333333333333,13.6702211292238,0.149872256669241,0.987530133339274
6,2531,2217.516129,0.607833544,0.153357458,869.3333333,5.875896287,1.04790401,6.586579194,1.465428863,13.71965089,0.827214766,22.41292598,0.412413564,0.713041855,0.165518629,3.19885581,3.754952948,3.822429907,0.261999278,7.644859813,0.027777778,96.27102804,0.25806736,107,409,2.790112674,6,0.703375342020626,2.82939538031343,0.0467289719626168,18.3407630668259,0.158722006713638,0.977183037937134
7,3561,3032.787879,0.597702351,0.155693018,984.969697,6.009855645,0.931360046,6.754142929,1.395686747,13.72835127,0.900891076,22.41221186,0.434704163,0.728050678,0.168500118,3.136841183,3.719549662,3.131578947,0.209513335,6.263157895,0.041666667,109.1929825,0.148113647,114,357,2.906894429,7,0.767936761307931,3.47113672471997,0.0789473684210526,11.365460372692,0.138104702652098,0.999845877730003
8,2239,1956.212766,0.621612706,0.137162216,759.5957447,5.876505475,0.910344659,6.539458815,1.270772369,13.57362039,0.80204365,22.31387261,0.36856797,0.689865504,0.157732108,3.161513389,3.773129605,3.682692308,0.271998218,7.365384615,0.033333333,85.67307692,0.21004481,104,383,2.637943787,8,0.688902154121003,3.99425174187111,0.0673076923076923,15.9106168060601,0.166666666666667,0.990018308962298
9,10348,9441.417582,0.477252541,0.199811754,2252.56044,6.590130212,1.014293103,7.798938616,1.72180478,14.46114156,1.313111037,22.48826298,0.32736917,0.933983316,0.206464429,3.143836489,3.658143118,3.947916667,0.362046156,7.895833333,0.021276596,71.63541667,0.401096491,96,379,2.481987847,9,0.697608636129365,2.29122090757046,0.0416666666666667,13.1669217788997,0.211864951748679,0.865281468603814
10,4242,3675.113402,0.599037674,0.172684924,1078.989691,5.94892449,1.00306459,6.713093689,1.535060957,13.7484212,1.013967041,22.40028083,0.35489269,0.72971898,0.166648825,3.153159014,3.714271965,4.259259259,0.364585806,8.518518519,0.022727273,77.62962963,0.322256836,108,460,2.428326475,10,0.791607732201792,2.21800707639535,0.0185185185185185,41.9280203525304,0.235294117647059,0.271860491048493
11,1605,1482.895349,0.647944104,0.13034262,638.9186047,5.676891361,0.960784045,6.261365407,1.297394786,13.44141182,0.808389218,22.34204924,0.371912686,0.641550985,0.153607029,3.138549054,3.792547011,3.152380952,0.239586596,6.304761905,0.037037037,93.83809524,0.189377289,105,331,2.777868481,11,0.714386589526777,1.91776718529401,0.019047619047619,26.9459038128605,0.236697432151609,0.370055845876759
12,2689,2476.786517,0.642863801,0.136803212,733.9550562,5.749999151,0.936399526,6.353683015,1.312106099,13.54420955,0.898101368,22.41712563,0.517210889,0.651537035,0.158189736,3.151480048,3.743747027,4.923076923,0.310075766,9.846153846,0.025,71.89423077,0.28304705,104,512,2.372965976,12,0.811765168635753,2.19952699019726,0.0192307692307692,45.4326513826614,0.242788241418973,0.18908746158005
13,2344,2928.863636,0.634129344,0.168733478,892.2575758,5.677046283,1.112483036,6.341832468,1.603434361,13.56272446,1.08641666,22.27159111,0.517119173,0.668617439,0.166907234,3.178650591,3.716327768,1.9875,0.237122558,3.975,0.055555556,90.8875,0.164873418,80,159,3.2596875,13,0.820872440273038,1.90422855011398,0.0375,9.38045857746737,0.167427691721096,0.978395999921923
14,2108,2237.925926,0.628983961,0.149236863,796.8024691,5.799051213,0.928543369,6.449952347,1.3533967,13.5934661,0.875995563,22.37401719,0.45733618,0.6767539,0.158900865,3.159967196,3.774359316,2.386138614,0.22324967,4.772277228,0.043478261,112.8811881,0.172277228,101,241,3.225370062,14,0.775010802788058,2.34107768685619,0.0495049504950495,10.8172107698523,0.129491287673609,0.999800670266317
