"run","num_revs","length","diversity_mean","diversity_sd","mean_unique_length","mean_within_rev_uni_ent","sd_within_rev_uni_ent","mean_within_rev_info","sd_within_rev_info","mean_across_rev_uni_ent","sd_across_rev_uni_ent","mean_across_rev_info","sd_across_rev_info","within_reviewer_sd_ent_chancap","within_reviewer_sd_info_chancap","across_reviewer_sd_ent_chancap","across_reviewer_sd_info_chancap","interconnectivity","transitivities","degrees","scale_test","betweens","centralization","nodes","edges","path_length","run","gini","alpha","xmin","loglik","KS.stat","KS.p"
1,4305,6506.675676,0.57024398,0.197411323,1237.432432,5.946089997,0.952203831,6.818918741,1.60390562,14.09221699,1.233482724,22.70086808,0.600422227,0.781431181,0.200702896,3.284430542,3.63661529,3.5,0.28395646,7,0.025641026,66.22727273,0.356321839,88,308,2.493801653,1,0.810693168619998,2.03073333351225,0.0227272727272727,23.9499558923508,0.166666666666667,0.863055316066449
2,1238,1277.747126,0.62746404,0.134050954,565.7356322,5.693835136,0.846119885,6.31120031,1.155643867,13.72640475,0.872192343,22.61139856,0.582539133,0.670795467,0.172045389,3.249055887,3.697190461,4.590909091,0.271516992,9.181818182,0.023255814,75.2,0.301084237,110,505,2.358181818,2,0.64143045968571,2.39600571030293,0.0181818181818182,56.7553099439914,0.238095238095238,0.165010427129984
3,1787,2108.701299,0.585674112,0.16678449,737.0909091,5.717089176,0.92236973,6.476947134,1.378801178,13.47866137,1.015694438,22.31962389,0.543296322,0.747147514,0.194409878,3.058131792,3.713799811,2.536842105,0.297363281,5.073684211,0.04,113.2526316,0.201343785,95,241,3.373739612,3,0.686961387800782,2.78088935289529,0.0421052631578947,23.251343170615,0.157269995612214,0.948422783664862
4,1897,2255.2125,0.596802577,0.17078439,743.6875,5.674257579,0.985495421,6.410177099,1.438849056,13.47387325,1.046850042,22.28952732,0.546203723,0.729873034,0.187348532,3.078710542,3.749573816,2.87037037,0.326283988,5.740740741,0.025,123.5092593,0.310834199,108,310,3.277949246,4,0.756433159569692,1.94106200367337,0.0185185185185185,28.0436404359472,0.174452104469761,0.751294006617251
5,734,750.05,0.687217429,0.134607674,349.7833333,5.108675429,0.992230256,5.612172405,1.284972954,13.06785691,0.74582811,22.09938146,0.589623574,0.604854714,0.164989953,3.05939967,3.824259902,1.5,0.278544542,3,0.066666667,197.3333333,0.115789474,96,144,5.100694444,5,0.658321980018165,1.82352410986566,0.0208333333333333,13.6702211292238,0.149872256669241,0.987530133339274
6,2531,2694.224719,0.57257588,0.176901576,849.3595506,5.762111966,1.007373481,6.578969443,1.491152329,13.58098395,1.106252389,22.34273277,0.598233268,0.771051743,0.199958264,3.043964408,3.715950847,3.822429907,0.261999278,7.644859813,0.027777778,96.27102804,0.25806736,107,409,2.790112674,6,0.703375342020626,2.82939538031343,0.0467289719626168,18.3407630668259,0.158722006713638,0.977183037937134
7,3561,3451.84,0.561585611,0.180747571,975.7,5.922909467,0.984553841,6.776511495,1.503153433,13.75201911,1.073062881,22.46391627,0.524392319,0.788576718,0.202097761,3.072052071,3.68335021,3.131578947,0.209513335,6.263157895,0.041666667,109.1929825,0.148113647,114,357,2.906894429,7,0.767936761307931,3.47113672471997,0.0789473684210526,11.365460372692,0.138104702652098,0.999845877730003
8,2239,2405.184783,0.561599739,0.148606309,801.9130435,5.883227524,0.897842714,6.680481126,1.307065926,13.74914816,0.892401237,22.47344958,0.473564484,0.778577482,0.211594636,3.174568771,3.680171544,3.682692308,0.271998218,7.365384615,0.033333333,85.67307692,0.21004481,104,383,2.637943787,8,0.688902154121003,3.99425174187111,0.0673076923076923,15.9106168060601,0.166666666666667,0.990018308962298
9,10348,10870.56627,0.430594337,0.202408092,2026.313253,6.41339665,0.958660936,7.768015175,1.685234399,14.46207434,1.418228914,22.53804757,0.594320021,1.024848461,0.268956245,3.187501543,3.604332021,3.947916667,0.362046156,7.895833333,0.021276596,71.63541667,0.401096491,96,379,2.481987847,9,0.697608636129365,2.29122090757046,0.0416666666666667,13.1669217788997,0.211864951748679,0.865281468603814
10,4242,5531.10989,0.556558147,0.191292039,1145.120879,5.989240246,0.943240739,6.873393533,1.548368768,14.11939634,1.41388724,22.588762,0.731647371,0.798368286,0.208428617,3.261742234,3.648913397,4.259259259,0.364585806,8.518518519,0.022727273,77.62962963,0.322256836,108,460,2.428326475,10,0.791607732201792,2.21800707639535,0.0185185185185185,41.9280203525304,0.235294117647059,0.271860491048493
11,1605,1684.606742,0.626382649,0.172130922,612.3483146,5.595342368,0.902963841,6.250129419,1.338290696,13.58435149,0.85706221,22.46174906,0.524487964,0.683468218,0.183822409,3.201882385,3.742518003,3.152380952,0.239586596,6.304761905,0.037037037,93.83809524,0.189377289,105,331,2.777868481,11,0.714386589526777,1.91776718529401,0.019047619047619,26.9459038128605,0.236697432151609,0.370055845876759
12,2689,2820.066667,0.601246614,0.154116972,725.7,5.652002046,0.998508901,6.356115974,1.404112764,13.52430771,1.02215933,22.38150853,0.624659573,0.715420511,0.19364918,3.08976314,3.726374334,4.923076923,0.310075766,9.846153846,0.025,71.89423077,0.28304705,104,512,2.372965976,12,0.811765168635753,2.19952699019726,0.0192307692307692,45.4326513826614,0.242788241418973,0.18908746158005
13,2344,4540.396226,0.570210788,0.190981141,923.7358491,5.575116597,1.152090802,6.420967421,1.742416258,13.34868313,1.226126071,22.1142945,0.639255952,0.782314539,0.20861532,3.002880858,3.767905527,1.9875,0.237122558,3.975,0.055555556,90.8875,0.164873418,80,159,3.2596875,13,0.820872440273038,1.90422855011398,0.0375,9.38045857746737,0.167427691721096,0.978395999921923
14,2108,2049.853333,0.600014106,0.170902744,697.1733333,5.691129969,0.93588858,6.410837219,1.378740515,13.62704675,1.002759836,22.46363265,0.544701094,0.72479567,0.194361781,3.17288923,3.69594815,2.386138614,0.22324967,4.772277228,0.043478261,112.8811881,0.172277228,101,241,3.225370062,14,0.775010802788058,2.34107768685619,0.0495049504950495,10.8172107698523,0.129491287673609,0.999800670266317
15,3542,3628.333333,0.611393815,0.164794195,869.0229885,5.766475408,0.915682356,6.477029342,1.399821515,13.87688471,1.034637036,22.57128281,0.577164999,0.711284485,0.189071708,3.321771088,3.723643045,3.785046729,0.329535793,7.570093458,0.025,97.35514019,0.296508552,107,405,2.810376452,15,0.844683556995625,2.58994139416732,0.0280373831775701,35.2457928962553,0.214285714285714,0.496308527686
16,9199,11433.325,0.460649633,0.226083251,2077.075,6.30973949,1.100203731,7.590958085,1.91110541,14.50348054,1.340694914,22.63726005,0.527178466,0.977574909,0.253148807,3.264157168,3.578158931,4.410526316,0.413704497,8.821052632,0.026315789,74.69473684,0.299776036,95,419,2.56199446,16,0.761448898907776,2.4106383133988,0.0210526315789474,44.0438024859475,0.235294117647059,0.271860491048493
17,498,979.1363636,0.683966177,0.123486634,370.4318182,5.184827004,0.7995283,5.67806454,1.095864805,13.01955736,0.839540939,22.2024457,0.700119233,0.594728191,0.148976563,3.050362842,3.784136342,1.373333333,0.121478873,2.746666667,0.058823529,111.7066667,0.179099099,75,103,3.965511111,17,0.663025435073626,1.71350681541969,0.0266666666666667,7.36994884347257,0.238085126791988,0.822374700968732
18,1074,2191.934783,0.668123816,0.167766008,665.2391304,5.240114613,1.117612112,5.811493303,1.568915998,13.27122546,1.204932056,22.1329516,0.698612687,0.629537557,0.17186925,3.173702032,3.775462476,1.444444444,0.098150782,2.888888889,0.05,100.7160494,0.201388889,81,117,3.474470355,18,0.783686231234338,2.01085682010354,0.0740740740740741,4.08832066324863,0.210426875438354,0.979747963778394
19,6796,7431.575,0.530196369,0.203551974,1393.825,5.995821252,0.952109389,6.999440372,1.679508231,13.93656605,1.305169106,22.42318756,0.57067941,0.847205885,0.216332037,3.131997464,3.671404923,2.631067961,0.249425287,5.262135922,0.03125,112.9902913,0.252332001,103,271,3.1842775,19,0.825631296536512,2.13543983651619,0.0194174757281553,34.5814602050819,0.188030796287761,0.623593823524889
